business_name,phone,lat,lng,detail_link
360 Technologies,(512) 266-7360,30.37589,-97.94386,https://www.yelp.com/biz/360-technologies-lakeway?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Poke-Poke,(512) 840-1942,30.324867,-97.743266,https://www.yelp.com/biz/poke-poke-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Daily Juice Cafe,(512) 827-2277,30.355754,-97.757014,https://www.yelp.com/biz/daily-juice-cafe-austin-7?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Blenders and Bowls - Westlake,(512) 584-8800,30.28068,-97.80693,https://www.yelp.com/biz/blenders-and-bowls-westlake-west-lake-hills-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Daily Juice Cafe,(512) 852-8055,30.40345,-97.67276,https://www.yelp.com/biz/daily-juice-cafe-austin-13?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Blenders and Bowls- Guadalupe,(512) 305-3530,30.30145,-97.73928,https://www.yelp.com/biz/blenders-and-bowls-guadalupe-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Southern Pressed Juicery,(512) 712-5082,30.39673,-97.72673,https://www.yelp.com/biz/southern-pressed-juicery-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Acai Hut,(512) 428-5880,30.298674,-97.704329,https://www.yelp.com/biz/acai-hut-austin-4?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Austin Skin Plus,(512) 850-8835,30.3440682189101,-97.735218719574,https://www.yelp.com/biz/austin-skin-plus-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Everygirl Skincare and Acne Clinic,(512) 289-2442,30.2395272,-97.8799619,https://www.yelp.com/biz/everygirl-skincare-and-acne-clinic-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Plus One Skincare & Acne Clinic,(512) 922-4155,30.179814,-97.842918,https://www.yelp.com/biz/plus-one-skincare-and-acne-clinic-austin-3?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
POREspective,,30.2379901,-97.8258307,https://www.yelp.com/biz/porespective-austin-2?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Spa Luna,(808) 283-7587,30.14659,-97.80717,https://www.yelp.com/biz/spa-luna-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Lillian Mae Bridal,(737) 618-0882,30.38256,-97.72309,https://www.yelp.com/biz/lillian-mae-bridal-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Second Summer Bride,(512) 419-9001,30.351041,-97.719386,https://www.yelp.com/biz/second-summer-bride-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Atown,(512) 323-2533,30.33019,-97.7401299,https://www.yelp.com/biz/atown-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
Hempton's Retro Threads,(512) 368-5005,30.37416,-97.74121,https://www.yelp.com/biz/hemptons-retro-threads-austin?adjust_creative=gdeX343-yYSVXbH1za3E-A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gdeX343-yYSVXbH1za3E-A
